run_id,frame,time_ps,combined_frame_index,n_contact_pairs
RUN1,100,4.888821,0,14
RUN1,110,5.3777031,1,16
RUN1,120,5.8665852,2,16
RUN1,130,6.3554673,3,18
RUN1,140,6.8443494000000005,4,16
RUN1,150,7.3332315,5,18
RUN1,160,7.8221136,6,18
RUN1,170,8.3109957,7,16
RUN1,180,8.7998778,8,15
RUN1,190,9.2887599,9,11
RUN1,200,9.777642,10,17
RUN1,210,10.2665241,11,17
RUN1,220,10.7554062,12,16
RUN1,230,11.244288300000001,13,14
RUN1,240,11.7331704,14,15
RUN1,250,12.2220525,15,12
RUN1,260,12.7109346,16,16
RUN1,270,13.1998167,17,13
RUN1,280,13.688698800000001,18,12
RUN1,290,14.1775809,19,11
RUN1,300,14.666463,20,12
RUN1,310,15.1553451,21,22
RUN1,320,15.6442272,22,22
RUN1,330,16.1331093,23,17
RUN1,340,16.6219914,24,17
RUN1,350,17.1108735,25,19
RUN1,360,17.5997556,26,11
RUN1,370,18.0886377,27,19
RUN1,380,18.5775198,28,17
RUN1,390,19.0664019,29,18
RUN1,400,19.555284,30,19
RUN1,410,20.0441661,31,17
RUN1,420,20.5330482,32,20
RUN1,430,21.0219303,33,19
RUN1,440,21.5108124,34,22
RUN1,450,21.9996945,35,19
RUN1,460,22.488576600000002,36,22
RUN1,470,22.9774587,37,18
RUN1,480,23.4663408,38,19
RUN1,490,23.9552229,39,17
RUN1,500,24.444105,40,23
RUN1,510,24.932987100000002,41,25
RUN1,520,25.4218692,42,22
RUN1,530,25.9107513,43,20
RUN1,540,26.3996334,44,22
RUN1,550,26.8885155,45,23
RUN1,560,27.377397600000002,46,21
RUN1,570,27.8662797,47,23
RUN1,580,28.3551618,48,24
RUN1,590,28.8440439,49,22
RUN1,600,29.332926,50,24
RUN1,610,29.821808100000002,51,23
RUN1,620,30.3106902,52,23
RUN1,630,30.7995723,53,23
RUN1,640,31.2884544,54,21
RUN1,650,31.7773365,55,21
RUN1,660,32.2662186,56,24
RUN1,670,32.7551007,57,25
RUN1,680,33.2439828,58,25
RUN1,690,33.7328649,59,24
RUN1,700,34.221747,60,26
RUN1,710,34.7106291,61,25
RUN1,720,35.1995112,62,28
RUN1,730,35.6883933,63,22
RUN1,740,36.1772754,64,20
RUN1,750,36.666157500000004,65,19
RUN1,760,37.1550396,66,23
RUN1,770,37.6439217,67,24
RUN1,780,38.1328038,68,24
RUN1,790,38.6216859,69,23
RUN1,800,39.110568,70,21
RUN1,810,39.5994501,71,21
RUN1,820,40.0883322,72,25
RUN1,830,40.5772143,73,24
RUN1,840,41.0660964,74,21
RUN1,850,41.554978500000004,75,23
RUN1,860,42.0438606,76,23
RUN1,870,42.5327427,77,24
RUN1,880,43.0216248,78,23
RUN1,890,43.5105069,79,23
RUN1,900,43.999389,80,22
RUN1,910,44.4882711,81,26
RUN1,920,44.977153200000004,82,22
RUN1,930,45.4660353,83,18
RUN1,940,45.9549174,84,21
RUN1,950,46.443799500000004,85,23
RUN1,960,46.9326816,86,21
RUN1,970,47.4215637,87,20
RUN1,980,47.9104458,88,25
RUN1,990,48.3993279,89,20
RUN1,1000,48.88821,90,22
RUN1,1010,49.3770921,91,23
RUN1,1020,49.865974200000004,92,25
RUN1,1030,50.3548563,93,23
RUN1,1040,50.8437384,94,22
RUN1,1050,51.332620500000004,95,21
RUN1,1060,51.8215026,96,24
RUN1,1070,52.3103847,97,20
RUN1,1080,52.7992668,98,21
RUN1,1090,53.2881489,99,22
RUN1,1100,53.777031,100,22
RUN1,1110,54.2659131,101,23
RUN1,1120,54.754795200000004,102,26
RUN1,1130,55.2436773,103,22
RUN1,1140,55.7325594,104,27
RUN1,1150,56.221441500000005,105,23
RUN1,1160,56.7103236,106,25
RUN1,1170,57.1992057,107,22
RUN1,1180,57.6880878,108,26
RUN1,1190,58.1769699,109,22
RUN1,1200,58.665852,110,21
RUN1,1210,59.1547341,111,25
RUN1,1220,59.643616200000004,112,20
RUN1,1230,60.1324983,113,24
RUN1,1240,60.6213804,114,25
RUN1,1250,61.110262500000005,115,25
RUN1,1260,61.5991446,116,28
RUN1,1270,62.0880267,117,22
RUN1,1280,62.5769088,118,23
RUN1,1290,63.0657909,119,21
RUN1,1300,63.554673,120,24
RUN1,1310,64.0435551,121,25
RUN1,1320,64.5324372,122,22
RUN1,1330,65.0213193,123,22
RUN1,1340,65.5102014,124,23
RUN1,1350,65.9990835,125,22
RUN1,1360,66.4879656,126,23
RUN1,1370,66.97684770000001,127,24
RUN1,1380,67.4657298,128,25
RUN1,1390,67.9546119,129,23
RUN1,1400,68.443494,130,25
RUN1,1410,68.9323761,131,24
RUN1,1420,69.4212582,132,24
RUN1,1430,69.91014030000001,133,20
RUN1,1440,70.3990224,134,24
RUN2,100,4.888821,135,20
RUN2,110,5.3777031,136,21
RUN2,120,5.8665852,137,19
RUN2,130,6.3554673,138,20
RUN2,140,6.8443494000000005,139,19
RUN2,150,7.3332315,140,22
RUN2,160,7.8221136,141,16
RUN2,170,8.3109957,142,19
RUN2,180,8.7998778,143,19
RUN2,190,9.2887599,144,20
RUN2,200,9.777642,145,21
RUN2,210,10.2665241,146,18
RUN2,220,10.7554062,147,21
RUN2,230,11.244288300000001,148,22
RUN2,240,11.7331704,149,18
RUN2,250,12.2220525,150,20
RUN2,260,12.7109346,151,16
RUN2,270,13.1998167,152,20
RUN2,280,13.688698800000001,153,20
RUN2,290,14.1775809,154,18
RUN2,300,14.666463,155,21
RUN2,310,15.1553451,156,20
RUN2,320,15.6442272,157,17
RUN2,330,16.1331093,158,22
RUN2,340,16.6219914,159,20
RUN2,350,17.1108735,160,23
RUN2,360,17.5997556,161,22
RUN2,370,18.0886377,162,17
RUN2,380,18.5775198,163,18
RUN2,390,19.0664019,164,12
RUN2,400,19.555284,165,12
RUN2,410,20.0441661,166,17
RUN2,420,20.5330482,167,18
RUN2,430,21.0219303,168,17
RUN2,440,21.5108124,169,18
RUN2,450,21.9996945,170,19
RUN2,460,22.488576600000002,171,18
RUN2,470,22.9774587,172,19
RUN2,480,23.4663408,173,15
RUN2,490,23.9552229,174,19
RUN2,500,24.444105,175,20
RUN2,510,24.932987100000002,176,18
RUN2,520,25.4218692,177,17
RUN2,530,25.9107513,178,18
RUN2,540,26.3996334,179,18
RUN2,550,26.8885155,180,21
RUN2,560,27.377397600000002,181,19
RUN2,570,27.8662797,182,21
RUN2,580,28.3551618,183,14
RUN2,590,28.8440439,184,16
RUN2,600,29.332926,185,16
RUN2,610,29.821808100000002,186,17
RUN2,620,30.3106902,187,22
RUN2,630,30.7995723,188,21
RUN2,640,31.2884544,189,18
RUN2,650,31.7773365,190,17
RUN2,660,32.2662186,191,22
RUN2,670,32.7551007,192,23
RUN2,680,33.2439828,193,21
RUN2,690,33.7328649,194,19
RUN2,700,34.221747,195,20
RUN2,710,34.7106291,196,19
RUN2,720,35.1995112,197,21
RUN2,730,35.6883933,198,21
RUN2,740,36.1772754,199,20
RUN2,750,36.666157500000004,200,18
RUN2,760,37.1550396,201,19
RUN2,770,37.6439217,202,19
RUN2,780,38.1328038,203,18
RUN2,790,38.6216859,204,20
RUN2,800,39.110568,205,14
RUN2,810,39.5994501,206,17
RUN2,820,40.0883322,207,18
RUN2,830,40.5772143,208,17
RUN2,840,41.0660964,209,18
RUN2,850,41.554978500000004,210,21
RUN2,860,42.0438606,211,21
RUN2,870,42.5327427,212,21
RUN2,880,43.0216248,213,17
RUN2,890,43.5105069,214,18
RUN2,900,43.999389,215,17
RUN2,910,44.4882711,216,19
RUN2,920,44.977153200000004,217,18
RUN2,930,45.4660353,218,23
RUN2,940,45.9549174,219,21
RUN2,950,46.443799500000004,220,20
RUN2,960,46.9326816,221,21
RUN2,970,47.4215637,222,22
RUN2,980,47.9104458,223,18
RUN2,990,48.3993279,224,17
RUN2,1000,48.88821,225,20
RUN2,1010,49.3770921,226,20
RUN2,1020,49.865974200000004,227,14
RUN2,1030,50.3548563,228,14
RUN2,1040,50.8437384,229,19
RUN2,1050,51.332620500000004,230,22
RUN2,1060,51.8215026,231,21
RUN2,1070,52.3103847,232,22
RUN2,1080,52.7992668,233,18
RUN2,1090,53.2881489,234,18
RUN2,1100,53.777031,235,23
RUN2,1110,54.2659131,236,21
RUN2,1120,54.754795200000004,237,20
RUN2,1130,55.2436773,238,20
RUN2,1140,55.7325594,239,21
RUN2,1150,56.221441500000005,240,23
RUN2,1160,56.7103236,241,19
RUN2,1170,57.1992057,242,22
RUN2,1180,57.6880878,243,21
RUN2,1190,58.1769699,244,21
RUN2,1200,58.665852,245,19
RUN2,1210,59.1547341,246,22
RUN2,1220,59.643616200000004,247,20
RUN2,1230,60.1324983,248,21
RUN2,1240,60.6213804,249,20
RUN2,1250,61.110262500000005,250,21
RUN2,1260,61.5991446,251,21
RUN2,1270,62.0880267,252,20
RUN2,1280,62.5769088,253,21
RUN2,1290,63.0657909,254,20
RUN2,1300,63.554673,255,19
RUN2,1310,64.0435551,256,21
RUN2,1320,64.5324372,257,22
RUN2,1330,65.0213193,258,21
RUN2,1340,65.5102014,259,23
RUN2,1350,65.9990835,260,20
RUN2,1360,66.4879656,261,22
RUN2,1370,66.97684770000001,262,23
